"","ENSEMBLE","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSG00000111341","MGP",241845.296155441,8.72720792777271,0.153635419590084,56.8046610023771,0,2.2250738585072e-308
"2","ENSG00000146674","IGFBP3",444947.346101152,8.55007417131404,0.147179076301096,58.0930006234208,0,2.2250738585072e-308
"3","ENSG00000128510","CPA4",39347.7412412494,8.18916531072636,0.161101653192611,50.832286003518,0,2.2250738585072e-308
"4","ENSG00000060718","COL11A1",12644.9952543114,6.57225228385047,0.173091120890005,37.9698984561258,0,2.2250738585072e-308
"5","ENSG00000166033","HTRA1",56324.9171526165,6.202331394114,0.130036894114402,47.696705126296,0,2.2250738585072e-308
"6","ENSG00000175899","A2M",159683.053237938,5.99778435936806,0.105981568586916,56.5927117265609,0,2.2250738585072e-308
"7","ENSG00000182993","C12orf60",36964.3745848011,5.7497950438659,0.152159516198928,37.787942466568,0,2.2250738585072e-308
"8","ENSG00000105825","TFPI2",69377.1457286182,5.12869354255885,0.110428348493095,46.4436316629289,0,2.2250738585072e-308
"9","ENSG00000132688","NES",118437.456560725,4.6778412565663,0.0949320695753228,49.2756691968537,0,2.2250738585072e-308
"10","ENSG00000163453","IGFBP7",83915.4001292828,4.64775520261872,0.114926070583484,40.4412608820774,0,2.2250738585072e-308
